reviews,reviewers,date_reviews,rating,course_id
"When doing the quiz for Lesson 2, Week 1, I first failed, then I used the hints provided to do the appropriate calculations, however the numbers I obtain are considered incorrect, and I cankot pass the quiz although I checked the calculations million times and I know I am correct. There should be a demonstration of how the correct answer is obtained, simpke hints are not enough. Although I was super excited about learning Bayesian statistics, now I am forced to quit as it looks I will never be able to complete the course. The course ended up being useless and frustrating. This is truly unfortunate",By German G,"May 07, 2020",1,bayesian-statistics
I finished this course months ago and now its incomplete. I am angry that I possibly have to retake it again especially when I just finished. ,By Ashlee S,"Aug 24, 2020",1,what-is-datascience
Certificate nhi dete ,By Harsh K,"Aug 06, 2020",1,fe-exam
No I don't like it because free course but it asks money,By Devaraj,"Apr 28, 2020",1,epidemic-pandemic-outbreak
They charged again even the course was completed and there is no option to cancel ,By claudia b t d,"May 17, 2020",1,grammar-punctuation
"Videos are old. It feels like he had a bunch of material and put them together to create this course. For example: There are assignments that they give you the answer because the questions are not supposed to be there. He doesnt teach, instead, he reads a script. The assignments are not challenging and you dont feel like you learned. Horrible and painful.",By Felipe M M,"Sep 19, 2019",1,ds
i did'nt get my certificate,By Chandana. G,"Aug 23, 2020",1,psychological-first-aid
"The course would be way better if there was less time with the instructor on screen and more time looking at the components of the code within the program/script while discussing those elements.Respectfully,Cody",By cody r,"Aug 19, 2019",1,introduction-programming-unity
Unnecessary lengthy course,By Sander B,"Jul 21, 2020",1,python
it is a good lecture,By G.V.S.R.CH.Paramesh,"Apr 28, 2020",1,python
"Terrible. Can't understand speakers. Even the written translations have ""inaudible"" for certain areas. Are you kidding?",By Virgil D,"Oct 03, 2020",1,cybersecurity-roles-processes-operating-system-security
explanation was not up to the mark.,By SHARATH C,"May 28, 2020",1,python-network-data
Not for beginners.,By Jon S,"Nov 15, 2017",1,r-programming
"there was a technical problem on submitting the assignment, which I can not proceed on further week's lectures without completing the submission. I sent message and report the problem but nothing has solved even after 10 days. ",By Kongpyung M,"Nov 05, 2018",1,python-data-analysis
Very poor course... You can pass it in a one day even if you never program Python.,By Anastasiia L,"Nov 18, 2016",1,python-network-data
This course is definitely not for beginners. ,By Subham B,"Aug 30, 2019",1,machine-learning
Not enough in-course practice and they do not teach you how to install/use SQLite in your computer. I guess this course allows you to speak thoroughly about SQL more than it teaches how to use in real-world scenarios. Needs to improve.,By Juan J S,"Sep 22, 2019",1,sql-for-data-science
"The content was good information, but the peer graded assignment was confusing.  ",By Cristian T,"Aug 01, 2017",1,content-marketing
Introduction to SEO. You shouldn't expect nothing more that some superficial topics being explained.,By Nicolas S V,"Mar 31, 2018",1,search-engine-optimization
Education should be the number one priority of these f*king courses in marketing.  Why are they wasting my time promoting their books on and on an on... Exactly how dumb do you think we are??,By Vida R,"Jan 02, 2020",1,what-is-social
"El curso tiene información muy básica, usan buen lenguaje, de fácil entendimiento para el público en general, sin embargo me da pena que una de las instituciones más reconocidas del país aún maneje información tan obsoleta, el folleto que otorgan es en base a la Encuesta Nacional de Nutrición 2012, hay encuestas más recientes, la norma oficial la cuál la última revisión también tiene más de 6 años, los ""Alimentos de mayor consumo por el hospital Salvador Zubirán de 1996"" (hace más de 20 años), el Instituto de salud pública tiene publicaciones muy recientes acerca del panorama de salud en México, y no se diga del Instituto Salvador Zubirán, se siguen dando recomendaciones muy obsoletas, como insistir en los 8 vasos de agua, hace un tiempo la OMS aclaró que el consumo de agua tiene que satisfacer las necesidades de la persona, a menos que esta sufra algún padecimiento específico como problemas renales, ascitis, etc. Siguen utilizando el sistema de intercambios cuando el plato del bien comer es un material más preciso; y para acabar el área de actividad física también es muy simplista, la persona del video que hace ejercicio no trae la ropa adecuada y no realiza los ejercicios de manera adecuada. Soy nutrióloga, me gusta tomar estos cursos para ver qué tipo de material está accesible para la gente en general, estoy segura que si se dan una vuelta por otros cursos que ofrecen en esta misma plataforma será de gran utilidad para mejorar este curso, como nutrióloga y como mexicana me dio mucha verguenza ver este material, y entonces caigo en cuenta del porque tenemos la crisis de salud que tenemos.",By Amaranta P,"Nov 20, 2019",1,nutricion-obesidad-sobrepeso
Answer options are too similar. Many questions were low value. AKA who cares????,By James C,"Aug 29, 2018",1,six-sigma-principles
There isn't a support to help you with doubts ... ,By Vanderson A D d S,"Jul 28, 2017",1,probability-intro
I don't think the tutorials walk us through what we are supposed to do. I find myself on youtube watching free tutorials on the very subjects I am paying to learn. ,By scott m,"Nov 27, 2018",1,python-plotting
"Very steep learning curve, especially in the beginning. the professor does not have a very engaging way of presenting his material. Also unfortunately he always requires to first think theoretical and then apply some of the learned content this for yourself. However teaching works the other way around:1) what is the problem we are facing?2) how can we solve that problem (practically)?3) how and why does this solution work (theoretically)?this is proven to be much easier to learn new things and get started. Instead i think this course is set-up for people to struggle by themselves, which i find very frustrating and its not teaching! I ended up teaching myself through trial and error and lots of google search. So what am i paying you for then?Disappointing",By Stefan H,"Mar 27, 2019",1,r-programming
"It was difficult to follow the programming exercises because many of it had already been written. I think it would be more useful to learn one framework instead of using both keras and tensorflow in one course. I still don't know how to debug any of these frameworks. Without the forums, it would be very difficult to pass the assignments. Sometimes there were bugs in the jupyter notebook, sometimes typos that were misleading. As a result, it took me many hours stuck on one assignment. It would be good if these comments are taken into account for the future classes of this course. I really enjoy Andrew Ng.'s courses but I was disappointed at this last course's assignments.",By asieh h,"Jun 13, 2018",1,nlp-sequence-models
lack of proper explanation and no beginner friendly content.,By Sandeep M,"Nov 09, 2019",1,algorithmic-toolbox
"This course is very difficult. This is first of all not a introductory course. The instructor teaches basic stuff but the assignments were look like mountain. It is quite impossible for a beginner to solve this type of assignment problems without having a very good background in python programming and data structure handling. I should recommend, the instructor should revise the course content. Please bring balance between what you are teaching and what you are expecting from student. After taking this course, I personally demotivated from taking further courses in this specialization. *********** I will recommend going for IBM data science specialization.********",By Rahul R,"Feb 02, 2020",1,python-data-analysis
"I wanted to like this specialization, but I just cannot. My expectation was that this specialization would complement Andrew Ng's excellent Deep Learning specialization, but it does not. Whereas the DL specialization taught you best practices and a systematic approach to improving models, this specialization throws all of that out the window. The architectures are downright silly in some of the examples. If you want to learn TensorFlow, you would spend your time more wisely by working through the official TF tutorials, which are pretty good.",By Jussi H,"Jan 07, 2020",1,tensorflow-sequences-time-series-and-prediction
"too slow, assignments are irrelevant.",By Avraham H,"Sep 15, 2020",1,uva-darden-getting-started-agile
Avoid this course by all means. This is absolutely the worst course that I have ever enrolled and seriously I still can't understand how coursera allows such courses to exist. The material is very basic and it has a single reference for a paid book but the absolutely worst part is that the GRADING SYSTEM DEPENDS ON THE AVERAGE EVALUATION OF TWO OTHER RANDOM CLASSMATES. So you realize that even if your submission is perfect you end up getting random grades depending on the mood of your classmates and you can't do anything about it. I have just added University of Colorado in my blacklist  because seriously this course is a disgrace for online courses.,By Kostas A,"Jan 02, 2019",1,database-management
I am sorry but the Prof. doesn't know how to attract students to be more curious.,By Gabriel M,"Nov 19, 2015",1,sustainability
Don't take this course!,By Vitor F M F,"Jan 15, 2018",1,fundamentals-of-graphic-design
very confusing and doesn't seem connected or flow,By Lena P,"Apr 14, 2020",1,financial-markets-global
I WAS LOCKED OUT WHEN MY DUE DATE WAS A MONTH AWAY. ,"By KESHINRO, O T","Jun 08, 2020",1,excel-intermediate-1
The course is really bad for begineers ,By Abdul H,"Sep 14, 2020",1,java-programming
How to unenroll myself if I have joined a wrong course,By Udit S,"Sep 06, 2020",1,c-plus-plus-white
Fake course,By Abhay k,"May 06, 2020",1,python-basics
"The lectures don't cover the material in the quizzes. The only supplemental material is a single, incomplete formula sheet. In fact, it's hard to see what resources they are trying to provide other than a forum where other users fill in the many gaps and suggest alternate sources of information. Maybe it picks up significantly in weeks 4 and 5, but after going through weeks 1-3, spending most of my time trawling the forums and looking for study/learning materials on other sites, I'm done. ",By Chris D,"Feb 28, 2020",1,linear-algebra-machine-learning
"In a peer-graded assignment, the course is teaching new concepts such as the use of bokeh library, boto3 etc. The course isn't even teaching the basics of the same. I have struggled for like 3 days to solve a couple of questions. Moreover, response time from teaching staff/instructor is too high.Course could have been better.",By SNEHAL B,"May 08, 2019",1,python-for-applied-data-science-ai
"In fact, for me, it was an introduction for using Tensorflow for computer vision. It is not an introduction to tensorflow. There is any introduction for the concept of graphs, tensors...",By Anis C,"Apr 08, 2019",1,introduction-tensorflow
"Except for the lab parts, it is a very poor course which covered a very important topic that should build the initial stone in working as data scientist but the instructors ruined my experience. They were monotonous, did not to explain in simpler ways. they explained from they high end expert and the slides were poor and not interactive and verry boring and it was extremely difficult to keep focus with them.terrible course  ",By Cherif H W A,"Oct 27, 2019",1,data-science-methodology
It's not informative.,By Amber Y,"Jul 06, 2017",1,financial-planning
"【Now you know Prof. Xuhu Wan, please avoid his course in HKUST】0. Course Equivalence😐This course basically covers 50% content of MATH2411 Applied Statistics (I heard there is ISOM2500 that is similar to MATH2411?). Accidentally I took 2411 right before this winter when this course is out, so I found this course quite disappointing because I expect some practical manipulation of Python is covered while it doesn't. More is discussed in #3.

1. Teaching ☹If you have the experience of recording a video presentation eight hours before the deadline, with scripts written three days before and you hadn't recited or even gone through it in these three days, you will find the professor the same unpassionate. You will find his tone flat enough and gestures unnatural enough as if he is not emphasizing on anything but focusing to recite his scripts. You will find him lag a lot at strange and unnatural spots as if his brain goes blank and he quickly reads the copy of scripts next to the camera.

I thought business people cares a lot about presentation, but I was wrong.

2. Subtitle 😡There are tons of me steaks in the subtitles, not only tipos but also worlds of cellar pronunciation. 
(There are tons of mistakes in the subtitle, not only typos but also words of similar pronunciation.)

I enable subtitle because I sometimes can‘t understand the professor's perfect Mainland accent, but it turns out the subtitle is on his side but not my side. 

I thought business people are very strict about the material that comes along with their presentation, that they always carefully spellcheck every sentence. But I was wrong.

3. Content 😐3.1 Overall:
Please rename this course ""Python and applied statistics"". The professor spends sooooo much time talking about the statistics concepts and spends soooo little time applying the knowledge to financial analysis. It is not about ""Statistics for Financial Analysis"". Replace the data he uses for demonstration with GPA of every student and it becomes ""Statistics for Being HKUST President"" or ""Statistics for Anything"". I feel I am taking an introduction course to statistics and financial analysis is just an excuse the teacher use to show us the content he teaches is somewhat useful.

3.2 Pace:
You MAY find the pace quite fast because:
    The teacher throws many statistics concepts
    The teacher cannot fully explain the concepts (or it is not a 4 week course) so he moves on before you ever (perhaps never will) digest the previous concepts

This is extremely annoying in week 4, e.g. Multiple Linear Regression is taught without introducing a single formula, merely Python codes and black boxes behind them. (Actually this is the way I originally expect the professor to do, but it is quite inconsistent with the style in week 1-3)

You MAY find the pace quite slow because:
    After all this course introduces formulas and codes and let you to use them without knowing why. 

So I would say this is a 4-day course if you can spare 1 hour each day. After all you are not asked ""why"" but only ""how"". If you haven't taken MATH2411 or ISOM, you can spend more time on week 2 & 3 to understand the underlying knowledge. Week 1 is simple and week 4 is needless to comprehend.

4. Jupyter Notebook (JN for short) 😡4.1 Poor Exercise
Almost useless. Just a copy of the codes appeared in the video, with some variables assigned None instead of the correct expression. Your job is to change the lines of variable assignment (usually one or two lines), and the rest is done for you. Some notebooks are even 100% done for you, and all you need to do is look at it and appreciate. Even if you are fiddling with provided exercises, you don't know how to use JN, because...

4.2 Irresponsible adoption of JN
If you want to do some real exercise, you may want to append empty cells below the given content and type codes from scratch. But oh, this course does not teach you how to use JN! It just throw you a tutorial link of how to INSTALL JN ON YOUR COMPUTER{https://www.datacamp.com/community/tutorials/tutorial-jupyter-notebook}. What a shame!

Quickly gone through the linked tutorial, it assumes you have installed multiple instance of Python on your desktop, and know basics of pip, conda, docker, and virtual env, and teaches you how to install and configure JN in various dev. environments. But you just mentioned we can use Coursera's pre-installed JN out-of-the-box, why you want us to learn that huh? And to create cells, run cells, run several cells in order, run all, and other basic operations, is hidden in the last seconds of GIFs, not explicitly explained.
I guess the professor is TOO UNRESPONSIBLE to not only teach students how to use JN himself, but also SPEND AT LEAST SOME TIME to check if the external tutorial really ""explains how to use Jupyter Notebooks"". Please, not every one taking this course is CS student like me, SBM students they may not know how to use Python stuff.

5. Coursera Technical 😐Quizzes do not provide correct answer. So it is not that helpful. But getting 80% is not that hard either. But given the assumption that you can't use JN (explained in #4.), you lose at least 10% in Quiz 3 and 20% in Quiz 4. Oh that hurts! (Since Notebook 4.4 is done for you, another 20% in Quiz 4 related to JN is okay.)",By Zeyu H,"Jan 20, 2019",1,python-statistics-financial-analysis
"Muito Fraco, faltou detalhamento e as atividades eram muito simples",By Alvaro J,"Jan 05, 2017",1,project-planning
its boring,By Ms. S C,"Jun 14, 2017",1,neuromarketing
Good afternoon.I have completed the course using a promotion but I still didn't get my certificateI would appreciate if you look into this matter and provide me a certificate ASAP.I got more than 80% marks in each quiz but I don't know why you people didn't showed a certificate at the end of the course. I hope you look forward into this matter and meet my demands..Thank you,By Soeba K,"Sep 18, 2020",1,psychological-first-aid
Things in the beginning are not explained properly,By SHREYAS D,"Aug 14, 2020",1,python-machine-learning
"Labs are crap, when you ask for help with a lab you are refereed to a third party. In the final graded lab the instructions are total shit. If this continues I will cancel my subscription. ",By Brian A,"May 20, 2019",1,system-administration-it-infrastructure-services
very basic for professionals,By Maziar M,"Jan 22, 2019",1,sql-data-science
"I am sorry but the robot-based voiceover, extremely slow pace, and lack of interactivity made this specialization unbearable. Additionally, choosing R over Python seems illogical for many reasons, such as Python being the #1 language for data science, ML, AI (if you'd ever consider specializing in these areas).Poor experience - gave up after the 3rd week and started the one from Michigan (applied data science w/ python).",By Petros T,"Sep 04, 2020",1,data-scientists-tools
THE COURSE WAS SAYING THAT MY ITEMS HAS BEEN LOCKED UNTIL THE SESSION START. ANY SOLUTION TO THIS PLS,By Hassan H O ,"Sep 22, 2020",1,excel-essentials
"I am a professional SW developer (Embedded C for control units). I do not recommend this course for people who already know something about machine learning. If you want to learn the basics of ML, Stanford's Machine Learning course is a far better choice (is based on Matlab though).This one here has far too little content. Moreover, in case you cannot install the needed GraphLab/TuriCreate SW package (only MacOS or Unix, for Windows not always working, as for me also!) then you're basically left alone with finding a) the SW packages you need (I took scikit, numpy, pandas) and the corresponding commands (because the entire course explains ONLY commands for Graphlab, NOT for the other packages) - this is BIG extra work you need to do on your own. Now the big joke is that all other courses in the specialization are NOT based on Graphlab, but on the other packages I mentioned ;). In addition: Literally 0 support from teachers/mentors in the forum during the course. The students have/had to handle most/all problems themselves. This is a no-go.",By Florian M H,"May 13, 2020",1,ml-foundations
bad course its need a new evaluation from zero its one of the hardest courses for no reasons ,By Mohammed S ,"Jul 08, 2020",1,wharton-introduction-spreadsheets-models
"The course is outdated. I cannot recommend it. There are other courses out there that deal with the current versions of react and put a focus on TypeScript too, not only JavaScript.",By Mihaela R,"Aug 25, 2020",1,front-end-react
"I really wanted to like this class and was looking forward to learning data science in Python but this isn't the way to do it.  The instructor glosses over material without explaining it and the assignments require a large amount of research and outside learning to complete.  If I have to learn how to do the assignments from Google and Stack Overflow, why am paying for this course?  I've taken other classes on Coursera and am pretty good with Python and self-learning but this is pretty terrible.  Overall I expected better out of University of Michigan.",By Jason G,"Aug 30, 2017",1,python-data-analysis
I need to unenroll the course,By PRAKRUTHI S,"Jun 20, 2020",1,uva-darden-getting-started-agile
"Week 1 and 2 were very useful. As a beginner, I learned a lot about HTML and CSS. Week 3 was a big leap to JavaScript, and the level of difficulty was the reason why I quit the course.  Concepts are not well-explained, a lot of material for completing the tasks is missing. Please make JavaScript part simple for beginners.",By Narmin,"Sep 28, 2016",1,duke-programming-web
"no customer support while trying to download a workbook.... On their discussion forum, many are searching for it as well.... No phone number to get customer support.. Not user friendly...thumbs down",By teresa a,"Jul 24, 2020",1,excel-essentials
No mid-lecture quizzesEnd of section quizzes test rote memorizationNarration is poorly done,By Nick,"Jun 07, 2019",1,python-for-data-visualization
как покинуть курс?,By Екатерина С,"Sep 23, 2020",1,addiction-and-the-brain
"Для человека совершенно незнакомого с программированием, курс абсолютно не подходит. Очень много задач требующих определенной базы знаний и крайне мало материала для самостоятельного  изучения и объяснений как эти задачи решать. Первую неделю еще кое-как прошла, а дальше совершенно непонятно. Школьные олимпиадные задачи по программированию можно без труда найти в интернете и бесплатно. В целом не понравилось, потратила кучу времени не получив желаемых знаний. ",By Елена В,"Nov 24, 2018",1,python-osnovy-programmirovaniya
"HI Team, I am not able to perform hands-on on qwik-lab tool is not working for me. It is asking me for purchasing certificate. ",By kaushal k,"Feb 19, 2020",1,google-kubernetes-engine
Can't get certificate,By khadeeja r,"May 30, 2020",1,c-for-everyone
Very low parctical info offered by the course  ( around 15 minutes  of  effective clicking in tableau). ,By Cristian-Mugurel D,"Jun 16, 2020",1,data-visualization-tableau
"Its not detailed in explaining the method. I am a fast time HTML learner and the course starts by giving an assignment to ""try it"" but as a first time learner I have no idea what I am doing. The instruction videos are very very shallow!. Are they assuming students are pros before they sign up for the course?",By Antony M,"Sep 12, 2020",1,duke-programming-web
poor quality of the grading system,By Kim S K,"Jan 07, 2018",1,convolutional-neural-networks
Course was taught by people who gave no indication they had ever bought a security. They read flatly from the teleprompter and rarely looked at their audience. Very disconcerting and not conducive to trusting what is being said. ,By Tom S,"Nov 19, 2016",1,understanding-financial-markets
There is no option to unenroll  this the main disadvantage ,By PRATHIMA P,"May 07, 2020",1,social-psychology
Week 2 labs were broken and not working.Especially lab 3 to 5. Good lord there were incorrect and faulty syntaxes given in instructions. Even random blogs were giving better instructions.Lab 5 - services generated by app deployment were broken at google's end and not working.I felt this was waste of my time.This course experience gives a bad experience about google app engine,By Prateek S,"Apr 29, 2020",1,conversational-experiences-dialogflow
This course and material does not articulate the 'Google Cloud Platform' offerings. Maybe Google does not want to compete with Microsoft Azure and AWS alike. If Google itself has approved this 'Google Cloud Platform' trainings on Coursera then vola I am out.  I am way better off supporting AWS and Azure (at least they have tons of good trainings and stuff to keep folks in the field excited). ,By Naveen G,"Apr 11, 2017",1,gcp-fundamentals
"Jesus Christ, this course was exceptionally difficult. ",By Casey C W,"Aug 31, 2020",1,computer-networking
"Damaging to the Google brand. Low content, high click to progress, pushes to upgrade to paid certificate, and no focus on learning. It looked like the sort of corporate internal training designed by a third party trainer that get's paid by the pages. It felt like a dollar store degree mill approach. Very cheap and barely worth the cost, probably not worth the time.   ",By Michael J P,"May 31, 2020",1,iiot-google-cloud-platform
"The didactic value of this course is rather low. The lectures do not explain the very concepts required to sovle the subsequent assigments, or do it in a very poor way.",By Benjamin F,"Nov 18, 2019",1,pca-machine-learning
Too fast. Need to be deeper.,By Umesh M,"Jul 08, 2020",1,python-data-analysis
"I am so very disappointed and angry with Coursera. The peer review and grading methodology must seem good as a theory but in practice, it has been an absolute fail. Add to that, the inability to have my work graded promptly - especially when it's turned in on time - but also add in the impossibility to get someone to respond to my questions or concerns. My peer reviewers seem to be unable to comprehend the basic fundamentals of the English language. It is very frustrating to receive feedback that is inaccurate with nothing objective to add. This happened not once or twice but over and over again. I've had my wife (who has several degrees and writes as a profession, along with my GED teacher, to review my work and they are baffled right along with me as to why my peers fail my work assignments. If this is the best Coursera can do - you have a failing model. My experience has taught me not to bother with purchasing a course either. This has been a HUGE waste my time and energy. ",By Mathew F,"Dec 09, 2017",1,english-composition
"Honestly, for the price paid, the value given is quite low.  I expected to have more hands-on working with the Hadoop ecosystem rather than this course's focus on background that really does not help one to become productive.",By William R,"Oct 06, 2016",1,big-data-introduction
"Honestly, everything presented seemed painfully obvious to me. I confess to being more than a little shocked that the results of many of the studies are presented as if they are a new revelation and not something humans have already known for millennia. Virtually all philosophers/religions have taught the same truths and I think my grandparents (who lived through WWI, the depression, and WWII) would be shocked to know that people alive now have to be these basic truths about happiness.  ",By Deleted A,"Apr 29, 2020",1,the-science-of-well-being
No hay buena traducción,By Sebastián,"Jun 22, 2016",1,learning-how-to-learn
"I really wanted to love this course. The video content offers a few tiny pearls of wisdom, but I gather that you could just read the book called Contagion and get exactly the same content without spending $100. Apprehensive about other Coursera offerings now. ",By Madison R,"Dec 13, 2017",1,wharton-contagious-viral-marketing
I think the trainer just read out some material prepared by him. concepts are uncleared to me. bad experience,By Amiya R B,"Feb 18, 2020",1,data-science-methodology
The course is not clear at all,By Guy B,"May 03, 2019",1,progfun1
Could greatly benefit from more a more developed visual component. Especially in Subnetting.,By Austin L,"Jul 18, 2018",1,computer-networking
Too far from subject,By Miloš M,"May 08, 2016",2,accounting-analytics
"The organisation of the programming parts are way too confusing, making it difficult to learn in a proper manner.",By Óscar R B F,"Mar 28, 2018",2,machine-learning
"It's in very very simple English. so if you're bored of watching it, skip to something more professional.",By Mehrad R,"Jul 02, 2018",2,careerdevelopment
"This is the hardest course so far in the Specialization. I don't know whether it's me who is lacking the knowledge to fully comprehend the material, or it is because the material wasn't presented well enough. The experience was quite frustrating, and lost the motivation that I had been carrying through the previous 3 courses.I appreciate Andrew's efforts in delivering the lectures with the aim to present most complex materials as intuitively as possible, but still I feel, because of the complexity involved with CNNs, the material need more explanations, and maybe extending the course duration to 6 weeks will provide more opportunity to the instructors to present the matter more clearly.Quite remarkably, the programming exercises fell short on my expectation. It was not useful more than just a simple syntax-check exercise for TensorFlow/Keras/Python. It gives a false sense of achievement, when, in fact, I feel myself far from learning the theoretical underpinnings of the various algorithms explained throughout the course.To conclude, by completing the course, I believe that you surely would get to know the vocabulary used in CNNs and would be aware of the algorithms developed in the domain, but you won't learn enough to implement these algorithms from scratch yourself.",By Md. Z M,"Jul 10, 2020",2,convolutional-neural-networks
"I'm now one week in and I have to say I was surprised about the poor quality of the course. the information within the course is good although some things aren't really regarded as basics BUT all videos so far are with poor audio quality, and just a few powerpoint slides with some pictures of graphs.. I feel like I'm in university again. it's hard to enjoy the content cause it's so ""black and white"" and not engaging enough. it would be great to have better prepared courses in which maybe the people directly talk to you via good quality video and audio so you feel more inclined to follow what they say. ",By André V,"Sep 29, 2020",2,introduction-cybersecurity-cyber-attacks
Very basic introduction. Would have liked a little more substance than just the QnA section with some people in the field and a couple short readings. This entire course could have been the first week in a real course. I also think the quizzes could have been better. They just copy paste sections of the reading to make sure you read the reading assignments.,By Justin S,"Dec 12, 2019",2,what-is-datascience
"I find it unacceptable that the grader still had the same old problems from months ago. Adding notes directly to the python notebooks is not that difficult. #Return 4 significant digits, etc. Plus, the grader output is not always useful. I execute the function in the python notebook, for whatever reason it does not fail, it works. The grader is more sensitive as it should be but it would be more meaningful at least it mentioned which line it has failed or which cell or which function. The quizes during the videos seems a bit too random. I expect, if you are interrupting a video, you would be asking a question whose answer would be relevant for the later part of the video. Those pop-ups feels like unannounced midterm exams. There is already a full quiz section for this.Perhaps my expectations were too high for this course. ",By Ozge Y,"Jun 23, 2019",2,ds
the course is too shallow with difficult code exame ,By Mohammed A A,"Jul 19, 2020",2,pca-machine-learning
Not a great course for beginners tbh.... it jumped a bit from topic to topic and all of a sudden certain jargon was used making it difficult to follow some parts of the lecture. Course work does not match with lectures and SWIRL. It's frustrating that you can't apply the things you've learned in the lectures and apply it to the course work... this should be greatly improved. Only really good thing is SWIRL,By Dylan B,"Dec 07, 2017",2,r-programming
The course tried to cover a lot but wasn't really helpful for those who didn't have basic knowledge of either Python or Statistics,By Mohini J,"Mar 21, 2020",2,python-statistics-financial-analysis
"First, I would like to say that with the exception of ONE exam, I was able to take all the tests WITHOUT WATCHING THE VIDEOS. That shows that this is a poorly put together course. Secondly, this course did NOT cover CHILD NUTRITION, it covered general nutrition. There was nothing helpful in regards to meal planning with children (although there was useful information in the Lunch Packing Video.) Although it claims the project at the end of the course is optional, it will not let me complete the course without doing the project. I find that extremely frustrating. This course offered a lot of great information (even if it was a weird combo of factual/opinionated) I was frustrated by the fact that this course is OBVIOUSLY geared towards the upper middle class/rich instead of the the everyday blue-collar family. I will do the project to complete the course but was very disappointed in my first course through Coursera.",By Tiana R,"Jun 07, 2016",2,childnutrition
Not really learning a lot of new content,By Axel O P N,"Nov 04, 2019",2,python-data-visualization
es bueno el curso para empaparte sobre algunos conceptos a lo que se refiera las finanzas pero pienso que le falta mas contenido a detalle para poder entender mejor la complejidad de los conceptos dados en el tema,By Daniel,"Dec 29, 2016",2,contabilidad
It's pretty boring,By Dennis W,"May 21, 2020",2,wharton-introduction-spreadsheets-models
The complete course created more confusion than clarification. The way the content was explained didnt make the learning easy.,By Prachita S,"Jun 14, 2020",2,wharton-accounting
Too wordy for only a bit of information. ,By Nguyen L,"Dec 24, 2019",2,what-is-datascience
"Some parts of this course were good and some weren't. I would have liked to have heard less of telling stories and more focus on communication. I totally disagree with the whole concept that there is any platform where threats are a good idea. I would have like to have seen more clarity in the lectures about core and non-core violations. The lecture veered off into stories about well's Fargo, Martha Stewart, David Letterman and political figures. I would have liked to have seen the quizzes do a better job of reflecting the lectures instead of being a game of chance. Or, whack a mole. Mostly, I found this course to be a bunch of crap mostly because of the stories which had no real bearing on the course. After the second week, I quit watching the lectures and downloaded the scripts. There probably needs to be further readings if a topic isn't covered very well.",By Robert C,"Oct 29, 2018",2,wharton-communication-skills
"Creating video lectures without fixed text is poor preparation. Unfortunately, information was not adequate during conversations.",By Vasilis K,"Feb 03, 2019",2,globalenergyandclimatepolicy
"Its a basic and fast overview of big-data and some various tools. You don't really ""apply"" anything, just listen and read. This could have been a white-paper with short video accompanying. There were a mash-up of corporate sales and on-boarding videos that felt disjoint with the learning goals. The information is freely available on the web. I'm not clear on the added value in this MOOC.",By James P W,"Jan 21, 2018",2,decision-making
"I've taken several Coursera courses, and this is the worst one by far. Yes there is useful information, but it is very poorly taught. The video presentations don't add much beyond the reading assignments. And the ""quizes"" are an extension of the material, more like homework than a quiz. I would think Duke University would be embarrassed to put their name on this course. After all, that's where Dan Ariely calls home, so the university has talent, but it is not on display here.    

",By Doug K,"Aug 27, 2020",2,duke-behavioral-finance
